Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country_Region,City,State_Province,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Month,Year,Month_Year,Profit Margin,Profit Flag,Sale Bend
6,US-2023-167199,1/6/2023,1/10/2023,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,2573.82,9,0,746.41,Jan,2023,23-Jan,29.00%,Profitable,High
9,US-2023-167199,1/6/2023,1/10/2023,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,OFF-BI-10004632,Office Supplies,Binders,Ibico Hi-Tech Manual Binding System,609.98,2,0,274.49,Jan,2023,23-Jan,45.00%,Profitable,High
13,US-2023-167199,1/6/2023,1/10/2023,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,TEC-PH-10004539,Technology,Phones,Wireless Extenders zBoost YX545 SOHO Signal Booster,755.96,4,0,204.11,Jan,2023,23-Jan,27.00%,Profitable,High
23,US-2023-109232,1/13/2023,1/16/2023,Second Class,ND-18370,Natalie DeCherney,Consumer,United States,Mount Pleasant,South Carolina,29464,South,FUR-CH-10000422,Furniture,Chairs,Global Highback Leather Tilter in Burgundy,545.94,6,0,87.35,Jan,2023,23-Jan,16.00%,Profitable,High
30,US-2023-162775,1/13/2023,1/15/2023,Second Class,CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111,South,OFF-ST-10000025,Office Supplies,Storage,Fellowes Stor/Drawer Steel Plus Storage Drawers,572.58,6,0,34.35,Jan,2023,23-Jan,6.00%,Profitable,High
31,US-2023-157147,1/13/2023,1/18/2023,Standard Class,BD-11605,Brian Dahlen,Consumer,United States,San Francisco,California,94109,West,OFF-ST-10000078,Office Supplies,Storage,Tennsco 6- and 18-Compartment Lockers,1325.85,5,0,238.65,Jan,2023,23-Jan,18.00%,Profitable,High
32,US-2023-162775,1/13/2023,1/15/2023,Second Class,CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111,South,TEC-AC-10003174,Technology,Accessories,Plantronics S12 Corded Telephone Headset System,646.74,6,0,258.7,Jan,2023,23-Jan,40.00%,Profitable,High
44,US-2023-147627,1/20/2023,1/26/2023,Standard Class,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,72401,South,FUR-CH-10002331,Furniture,Chairs,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,1067.94,3,0,224.27,Jan,2023,23-Jan,21.00%,Profitable,High
60,US-2023-147627,1/20/2023,1/26/2023,Standard Class,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,72401,South,TEC-PH-10001061,Technology,Phones,Apple iPhone 5C,699.93,7,0,181.98,Jan,2023,23-Jan,26.00%,Profitable,High
103,US-2023-127614,2/11/2023,2/15/2023,Standard Class,NF-18385,Natalie Fritzler,Consumer,United States,Chesapeake,Virginia,23320,South,FUR-TA-10003715,Furniture,Tables,Hon 2111 Invitation Series Corner Table,1256.22,6,0,75.37,Feb,2023,23-Feb,6.00%,Profitable,High
131,US-2023-113880,3/1/2023,3/5/2023,Standard Class,VF-21715,Vicky Freymann,Home Office,United States,Elmhurst,Illinois,60126,Central,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,634.12,6,0.3,-172.12,Mar,2023,23-Mar,-27.10%,Loss,High
146,US-2023-105648,3/3/2023,3/7/2023,Standard Class,EJ-14155,Eva Jacobs,Consumer,United States,San Diego,California,92037,West,FUR-TA-10002958,Furniture,Tables,"Bevis Oval Conference Table, Walnut",626.35,3,0.2,-23.49,Mar,2023,23-Mar,-3.80%,Loss,High
171,US-2023-140116,3/10/2023,3/17/2023,Standard Class,KT-16480,Kean Thornton,Consumer,United States,Denver,Colorado,80219,West,OFF-ST-10000078,Office Supplies,Storage,Tennsco 6- and 18-Compartment Lockers,636.41,3,0.2,-15.91,Mar,2023,23-Mar,-2.50%,Loss,High
179,US-2023-114790,3/11/2023,3/13/2023,Second Class,FM-14215,Filia McAdams,Corporate,United States,Richmond,Kentucky,40475,South,TEC-PH-10000984,Technology,Phones,Panasonic KX-TG9471B,587.97,3,0,164.63,Mar,2023,23-Mar,28.00%,Profitable,High
180,CA-2023-139675,3/13/2023,3/18/2023,Second Class,NF-18595,Nicole Fjeld,Home Office,Canada,Calgary,Alberta,T2C,West,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,915.14,4,0.2,102.95,Mar,2023,23-Mar,11.20%,Profitable,High
182,US-2023-125521,3/14/2023,3/19/2023,Standard Class,CK-12325,Christine Kargatis,Home Office,United States,Chesapeake,Virginia,23320,South,FUR-CH-10003379,Furniture,Chairs,Global Commerce Series High-Back Swivel/Tilt Chairs,1139.92,4,0,284.98,Mar,2023,23-Mar,25.00%,Profitable,High
192,US-2023-152618,3/14/2023,3/17/2023,First Class,RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,60653,Central,TEC-MA-10003626,Technology,Machines,Hewlett-Packard Deskjet 6540 Color Inkjet Printer,574.91,2,0.3,156.05,Mar,2023,23-Mar,27.10%,Profitable,High
199,US-2023-148838,3/17/2023,3/21/2023,Standard Class,CP-12340,Christine Phan,Corporate,United States,New York City,New York,10024,East,FUR-TA-10001950,Furniture,Tables,Balt Solid Wood Round Tables,1071.58,4,0.4,-553.65,Mar,2023,23-Mar,-51.70%,Loss,High
200,US-2023-148838,3/17/2023,3/21/2023,Standard Class,CP-12340,Christine Phan,Corporate,United States,New York City,New York,10024,East,FUR-TA-10003473,Furniture,Tables,Bretford Rectangular Conference Table Tops,1579.75,7,0.4,-447.59,Mar,2023,23-Mar,-28.30%,Loss,High
201,US-2023-148838,3/17/2023,3/21/2023,Standard Class,CP-12340,Christine Phan,Corporate,United States,New York City,New York,10024,East,FUR-TA-10004175,Furniture,Tables,"Hon 30"" x 60"" Table with Locking Drawer",613.91,3,0.4,-122.78,Mar,2023,23-Mar,-20.00%,Loss,High
218,US-2023-111871,3/18/2023,3/21/2023,Second Class,EK-13795,Eileen Kiefer,Home Office,United States,San Francisco,California,94110,West,FUR-BO-10004218,Furniture,Bookcases,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",1198.33,10,0.15,70.49,Mar,2023,23-Mar,5.90%,Profitable,High
225,US-2023-131275,3/18/2023,3/24/2023,Standard Class,SC-20050,Sample Company A,Home Office,United States,Burbank,California,91505,West,OFF-ST-10000078,Office Supplies,Storage,Tennsco 6- and 18-Compartment Lockers,1856.19,7,0,334.11,Mar,2023,23-Mar,18.00%,Profitable,High
226,US-2023-131275,3/18/2023,3/24/2023,Standard Class,SC-20050,Sample Company A,Home Office,United States,Burbank,California,91505,West,TEC-MA-10001148,Technology,Machines,Swingline SM12-08 MicroCut Jam Free Shredder,1279.97,4,0.2,415.99,Mar,2023,23-Mar,32.50%,Profitable,High
227,US-2023-145317,3/18/2023,3/23/2023,Standard Class,SM-20320,Sean Miller,Home Office,United States,Jacksonville,Florida,32216,South,TEC-MA-10002412,Technology,Machines,Cisco TelePresence System EX90 Videoconferencing Unit,22638.48,6,0.5,-1811.08,Mar,2023,23-Mar,-8.00%,Loss,High
228,US-2023-145317,3/18/2023,3/23/2023,Standard Class,SM-20320,Sean Miller,Home Office,United States,Jacksonville,Florida,32216,South,TEC-MA-10003626,Technology,Machines,Hewlett-Packard Deskjet 6540 Color Inkjet Printer,821.3,4,0.5,-16.43,Mar,2023,23-Mar,-2.00%,Loss,High
246,US-2023-163223,3/21/2023,3/25/2023,Standard Class,KH-16690,Kristen Hastings,Corporate,United States,Springfield,Virginia,22153,South,TEC-PH-10000730,Technology,Phones,Samsung Galaxy S4 Active,3499.93,7,0,909.98,Mar,2023,23-Mar,26.00%,Profitable,High
254,US-2023-120838,3/23/2023,3/26/2023,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Los Angeles,California,90036,West,TEC-PH-10003484,Technology,Phones,Ooma Telo VoIP Home Phone System,604.75,6,0.2,37.8,Mar,2023,23-Mar,6.30%,Profitable,High
268,US-2023-137869,3/28/2023,4/2/2023,Standard Class,CV-12295,Christina VanderZanden,Consumer,United States,Des Moines,Iowa,50315,Central,FUR-TA-10003954,Furniture,Tables,Hon 94000 Series Round Tables,1184.72,4,0,106.62,Mar,2023,23-Mar,9.00%,Profitable,High
271,US-2023-137274,3/29/2023,4/2/2023,Standard Class,MG-18145,Mike Gockenbach,Consumer,United States,Plano,Texas,75023,Central,FUR-TA-10001889,Furniture,Tables,Bush Advantage Collection Racetrack Conference Table,890.84,3,0.3,-152.72,Mar,2023,23-Mar,-17.10%,Loss,High
281,US-2023-130428,3/31/2023,3/31/2023,Same Day,TG-21640,Trudy Glocke,Consumer,United States,Tampa,Florida,33614,South,FUR-CH-10002965,Furniture,Chairs,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",1125.49,7,0.2,98.48,Mar,2023,23-Mar,8.80%,Profitable,High
288,US-2023-128055,3/31/2023,4/5/2023,Standard Class,AA-10315,Alex Avila,Consumer,United States,San Francisco,California,94122,West,OFF-BI-10004390,Office Supplies,Binders,GBC DocuBind 200 Manual Binding Machine,673.57,2,0.2,252.59,Mar,2023,23-Mar,37.50%,Profitable,High
299,US-2023-164315,4/2/2023,4/8/2023,Standard Class,RD-19585,Rob Dowd,Consumer,United States,Athens,Georgia,30605,South,TEC-PH-10001128,Technology,Phones,Motorola Droid Maxx,1049.93,7,0,293.98,Apr,2023,23-Apr,28.00%,Profitable,High
319,US-2023-149104,4/5/2023,4/7/2023,Second Class,RD-19900,Ruben Dartt,Consumer,United States,Dearborn Heights,Michigan,48127,Central,OFF-ST-10000991,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.,689.82,6,0,20.69,Apr,2023,23-Apr,3.00%,Profitable,High
322,US-2023-102988,4/5/2023,4/9/2023,Second Class,GM-14695,Greg Maxwell,Corporate,United States,Alexandria,Virginia,22304,South,OFF-SU-10002881,Office Supplies,Supplies,Martin Yale Chadless Opener Electric Letter Opener,4164.05,5,0,83.28,Apr,2023,23-Apr,2.00%,Profitable,High
326,US-2023-169803,4/6/2023,4/12/2023,Standard Class,SC-20260,Scott Cohen,Corporate,United States,Seattle,Washington,98115,West,FUR-TA-10000688,Furniture,Tables,"Chromcraft Bull-Nose Wood Round Conference Table Top, Wood Base",653.55,3,0,111.1,Apr,2023,23-Apr,17.00%,Profitable,High
340,US-2023-128846,4/7/2023,4/12/2023,Standard Class,RS-19765,Roland Schwarz,Corporate,United States,Columbia,South Carolina,29203,South,TEC-PH-10003273,Technology,Phones,AT&T TR1909W,629.95,5,0,163.79,Apr,2023,23-Apr,26.00%,Profitable,High
342,US-2023-118997,4/8/2023,4/12/2023,Standard Class,RA-19885,Ruben Ausman,Corporate,United States,Decatur,Alabama,35601,South,FUR-TA-10001086,Furniture,Tables,"SAFCO PlanMaster Boards, 60w x 37-1/2d, White Melamine",1215.92,8,0,316.14,Apr,2023,23-Apr,26.00%,Profitable,High
357,US-2023-138940,4/11/2023,4/16/2023,Second Class,GM-14455,Gary Mitchum,Home Office,United States,Austin,Texas,78745,Central,TEC-PH-10001835,Technology,Phones,Jawbone JAMBOX Wireless Bluetooth Speaker,758.35,6,0.2,265.42,Apr,2023,23-Apr,35.00%,Profitable,High
363,US-2023-154599,4/12/2023,4/17/2023,Standard Class,KN-16450,Kean Nguyen,Corporate,United States,Redondo Beach,California,90278,West,TEC-PH-10001557,Technology,Phones,Pyle PMP37LED,1075.09,14,0.2,94.07,Apr,2023,23-Apr,8.80%,Profitable,High
365,US-2023-122336,4/13/2023,4/17/2023,Second Class,JD-15895,Jonathan Doherty,Corporate,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,509.97,10,0.7,-407.98,Apr,2023,23-Apr,-80.00%,Loss,High
384,US-2023-134572,4/20/2023,4/22/2023,Second Class,SV-20365,Seth Vernon,Consumer,United States,Houston,Texas,77070,Central,FUR-TA-10001705,Furniture,Tables,Bush Advantage Collection Round Conference Table,744.1,5,0.3,-95.67,Apr,2023,23-Apr,-12.90%,Loss,High
388,US-2023-136336,4/21/2023,4/26/2023,Standard Class,DB-13555,Dorothy Badders,Corporate,United States,Henderson,Kentucky,42420,South,OFF-ST-10002574,Office Supplies,Storage,"SAFCO Commercial Wire Shelving, Black",828.84,6,0,0,Apr,2023,23-Apr,0.00%,Loss,High
397,US-2023-166954,4/25/2023,4/30/2023,Standard Class,BT-11305,Beth Thompson,Home Office,United States,San Gabriel,California,91776,West,FUR-CH-10003973,Furniture,Chairs,GuestStacker Chair with Chrome Finish Legs,1487.04,5,0.2,148.7,Apr,2023,23-Apr,10.00%,Profitable,High
415,US-2023-131387,4/28/2023,4/30/2023,First Class,AI-10855,Arianne Irving,Consumer,United States,San Francisco,California,94122,West,TEC-PH-10001459,Technology,Phones,Samsung Galaxy Mega 6.3,1679.96,5,0.2,126,Apr,2023,23-Apr,7.50%,Profitable,High
416,US-2023-107811,4/29/2023,5/3/2023,Standard Class,LA-16780,Laura Armstrong,Corporate,United States,Memphis,Tennessee,38109,South,FUR-CH-10001394,Furniture,Chairs,Global Leather Executive Chair,561.58,2,0.2,70.2,Apr,2023,23-Apr,12.50%,Profitable,High
423,US-2023-160094,4/30/2023,5/2/2023,First Class,JM-16195,Justin MacKendrick,Consumer,United States,Louisville,Kentucky,40214,South,OFF-ST-10000585,Office Supplies,Storage,Economy Rollaway Files,826,5,0,214.76,Apr,2023,23-Apr,26.00%,Profitable,High
446,US-2023-166086,5/7/2023,5/12/2023,Standard Class,CT-11995,Carol Triggs,Consumer,United States,Lawrence,Massachusetts,1841,East,FUR-CH-10004675,Furniture,Chairs,"Lifetime Advantage Folding Chairs, 4/Carton",872.32,4,0,244.25,May,2023,23-May,28.00%,Profitable,High
450,CA-2023-166086,5/7/2023,5/12/2023,Standard Class,CT-11995,Carol Triggs,Consumer,Canada,Toronto,Ontario,M3C,East,FUR-CH-10004675,Furniture,Chairs,"Lifetime Advantage Folding Chairs, 4/Carton",872.32,4,0,244.25,May,2023,23-May,28.00%,Profitable,High
454,US-2023-116666,5/8/2023,5/10/2023,First Class,KT-16480,Kean Thornton,Consumer,United States,Philadelphia,Pennsylvania,19134,East,TEC-CO-10001449,Technology,Copiers,Hewlett Packard LaserJet 3310 Copier,1799.97,5,0.4,240,May,2023,23-May,13.30%,Profitable,High
467,US-2023-103310,5/10/2023,5/15/2023,Standard Class,GM-14680,Greg Matthias,Consumer,United States,San Jose,California,95123,West,TEC-PH-10001817,Technology,Phones,Wilson Electronics DB Pro Signal Booster,1432,5,0.2,125.3,May,2023,23-May,8.80%,Profitable,High
469,US-2023-152100,5/11/2023,5/16/2023,Standard Class,VW-21775,Victoria Wilson,Corporate,United States,Huntsville,Texas,77340,Central,FUR-CH-10000015,Furniture,Chairs,Hon Multipurpose Stacking Arm Chairs,1212.96,8,0.3,-69.31,May,2023,23-May,-5.70%,Loss,High
478,US-2023-155887,5/12/2023,5/17/2023,Standard Class,KT-16480,Kean Thornton,Consumer,United States,Franklin,Massachusetts,2038,East,FUR-TA-10002228,Furniture,Tables,"Bevis Traditional Conference Table Top, Plinth Base",700.06,3,0.3,-130.01,May,2023,23-May,-18.60%,Loss,High
