Order ID,Order Date,Ship Date,Customer Name,Segment,Category,Sub-Category,Product Name,Sales,Quantity,Profit,Month-Year,Profit Margin,Profit Flag,Sale Band,Region
US-2023-103800,1/3/2023,1/7/2023,Darren Powers,Consumer,Office Supplies,Paper,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",16.45,2,5.55,23-Jan,33.80%,Profitable,Low,Central
US-2023-112326,1/4/2023,1/8/2023,Phillina Ober,Home Office,Office Supplies,Binders,GBC Standard Plastic Binding Systems Combs,3.54,2,-5.49,23-Jan,-155.00%,Loss,Low,Central
US-2023-112326,1/4/2023,1/8/2023,Phillina Ober,Home Office,Office Supplies,Labels,Avery 508,11.78,3,4.27,23-Jan,36.30%,Profitable,Low,Central
US-2023-112326,1/4/2023,1/8/2023,Phillina Ober,Home Office,Office Supplies,Storage,SAFCO Boltless Steel Shelving,272.74,3,-64.77,23-Jan,-23.80%,Loss,Medium,Central
US-2023-141817,1/5/2023,1/12/2023,Mick Brown,Consumer,Office Supplies,Art,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",19.54,3,4.88,23-Jan,25.00%,Profitable,Low,East
US-2023-167199,1/6/2023,1/10/2023,Maria Etezadi,Home Office,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,2573.82,9,746.41,23-Jan,29.00%,Profitable,High,South
US-2023-167199,1/6/2023,1/10/2023,Maria Etezadi,Home Office,Office Supplies,Art,Rogers Handheld Barrel Pencil Sharpener,5.48,2,1.48,23-Jan,27.00%,Profitable,Low,South
US-2023-106054,1/6/2023,1/7/2023,Jack O'Briant,Corporate,Office Supplies,Art,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",12.78,3,5.24,23-Jan,41.00%,Profitable,Low,South
US-2023-167199,1/6/2023,1/10/2023,Maria Etezadi,Home Office,Office Supplies,Binders,Ibico Hi-Tech Manual Binding System,609.98,2,274.49,23-Jan,45.00%,Profitable,High,South
US-2023-167199,1/6/2023,1/10/2023,Maria Etezadi,Home Office,Office Supplies,Fasteners,"Alliance Super-Size Bands, Assorted Sizes",31.12,4,0.31,23-Jan,1.00%,Profitable,Low,South
US-2023-167199,1/6/2023,1/10/2023,Maria Etezadi,Home Office,Office Supplies,Paper,Southworth 25% Cotton Granite Paper & Envelopes,6.54,1,3.01,23-Jan,46.00%,Profitable,Low,South
US-2023-130813,1/6/2023,1/8/2023,Lycoris Saunders,Consumer,Office Supplies,Paper,Xerox 225,19.44,3,9.33,23-Jan,48.00%,Profitable,Low,West
US-2023-167199,1/6/2023,1/10/2023,Maria Etezadi,Home Office,Technology,Phones,Wireless Extenders zBoost YX545 SOHO Signal Booster,755.96,4,204.11,23-Jan,27.00%,Profitable,High,South
US-2023-167199,1/6/2023,1/10/2023,Maria Etezadi,Home Office,Technology,Phones,GE 30524EE4,391.98,2,113.67,23-Jan,29.00%,Profitable,Medium,South
US-2023-105417,1/7/2023,1/12/2023,Vivek Sundaresam,Consumer,Furniture,Furnishings,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",76.73,3,-53.71,23-Jan,-70.00%,Loss,Low,Central
US-2023-105417,1/7/2023,1/12/2023,Vivek Sundaresam,Consumer,Office Supplies,Binders,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",10.43,7,-18.25,23-Jan,-175.00%,Loss,Low,Central
US-2023-135405,1/9/2023,1/13/2023,Melanie Seite,Consumer,Office Supplies,Art,Newell 312,9.34,2,1.17,23-Jan,12.50%,Profitable,Low,Central
US-2023-135405,1/9/2023,1/13/2023,Melanie Seite,Consumer,Technology,Accessories,Memorex Micro Travel Drive 8 GB,31.2,3,9.75,23-Jan,31.30%,Profitable,Low,Central
US-2023-149020,1/10/2023,1/15/2023,Anthony Jacobs,Corporate,Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",51.94,1,21.3,23-Jan,41.00%,Profitable,Low,South
US-2023-149020,1/10/2023,1/15/2023,Anthony Jacobs,Corporate,Office Supplies,Labels,Avery 482,2.89,1,1.36,23-Jan,47.00%,Profitable,Low,South
US-2023-130092,1/11/2023,1/14/2023,Seth Vernon,Consumer,Furniture,Furnishings,"DAX Value U-Channel Document Frames, Easel Back",9.94,2,3.08,23-Jan,31.00%,Profitable,Low,East
